==== 2026-05-03T22:02:56-04:00 guarded docker run start ====
command: docker run --rm --name matrix-route-t32-reuse-c2048 --runtime=nvidia --gpus all --memory 112g --memory-swap 120g -v /home/cole/deepseek-v4-flash-dgx-spark:/repo:ro -v /home/cole/models/deepseek-v4-flash/hf:/model:ro -v /home/cole/runs/deepseek-v4-flash:/runs -e PYTHONPATH=/repo:/repo/spark_runtime:/model/inference -e PYTHONDONTWRITEBYTECODE=1 -e DEEPSEEK_SPARK_MODEL_DIR=/model -e DEEPSEEK_SPARK_MANIFEST_CSV=/repo/results/spark-66c9/weight-manifest.csv -e DEEPSEEK_SPARK_TELEMETRY_JSONL=/runs/matrix-route-t32-reuse-c2048.jsonl -e DEEPSEEK_SPARK_POSTFILL_MODE=deferred -e DEEPSEEK_SPARK_EXPERT_CACHE_ENTRIES=2048 -e DEEPSEEK_SPARK_EXPERT_CACHE_POLICY=layer_lru -e DEEPSEEK_SPARK_EXPERT_CACHE_LAYER_COUNT=43 -e DEEPSEEK_SPARK_PACKED_EXPERT_LAYOUT=/runs/packed-route-e018/layout.json -e DEEPSEEK_SPARK_NATIVE_BUILD_DIR=/runs/torch-extensions/native-packed-loader -e DEEPSEEK_SPARK_PACKED_REUSE_STAGING=1 --entrypoint /bin/bash deepseek-v4-flash-spark:tilelang -lc 'cd /repo && python3 /repo/scripts/probe_server_http.py --prompt "Hello" --max-tokens 32 --skip-chat'
guard: memory=112g memory_swap=120g min_mem_available_gib=12.0 timeout_seconds=2400.0
[2026-05-03T22:02:56-04:00] guard: initial MemAvailable=118.30 GiB
[2026-05-03T22:02:56-04:00] guard: elapsed=0.0s MemAvailable=118.30 GiB
[2026-05-03T22:02:58-04:00] guard: elapsed=2.0s MemAvailable=118.19 GiB
[2026-05-03T22:03:00-04:00] guard: elapsed=4.0s MemAvailable=117.98 GiB
[2026-05-03T22:03:02-04:00] guard: elapsed=6.0s MemAvailable=117.92 GiB
[2026-05-03T22:03:04-04:00] guard: elapsed=8.0s MemAvailable=117.90 GiB
[2026-05-03T22:03:06-04:00] guard: elapsed=10.0s MemAvailable=117.90 GiB
[2026-05-03T22:03:08-04:00] guard: elapsed=12.0s MemAvailable=117.87 GiB
INFO:     Started server process [47]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:18080 (Press CTRL+C to quit)
INFO:     127.0.0.1:54516 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:54524 - "GET /v1/models HTTP/1.1" 200 OK
/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:435: UserWarning:
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)

  queued_call()
/repo/spark_runtime/lazy_official_runtime.py:801: FutureWarning: torch.cuda._set_allocator_settings is deprecated. Use torch._C._accelerator_setAllocatorSettings instead.
  torch.cuda.memory._set_allocator_settings("expandable_segments:True")
[2026-05-03T22:03:10-04:00] guard: elapsed=14.0s MemAvailable=117.56 GiB
[2026-05-03T22:03:12-04:00] guard: elapsed=16.0s MemAvailable=103.41 GiB
[2026-05-03T22:03:14-04:00] guard: elapsed=18.0s MemAvailable=76.84 GiB
[2026-05-03T22:03:16-04:00] guard: elapsed=20.0s MemAvailable=76.58 GiB
[2026-05-03T22:03:18-04:00] guard: elapsed=22.0s MemAvailable=76.32 GiB
[2026-05-03T22:03:20-04:00] guard: elapsed=24.0s MemAvailable=76.06 GiB
[2026-05-03T22:03:22-04:00] guard: elapsed=26.0s MemAvailable=75.77 GiB
[2026-05-03T22:03:24-04:00] guard: elapsed=28.0s MemAvailable=75.48 GiB
[2026-05-03T22:03:26-04:00] guard: elapsed=30.0s MemAvailable=75.25 GiB
[2026-05-03T22:03:28-04:00] guard: elapsed=32.0s MemAvailable=74.78 GiB
[2026-05-03T22:03:30-04:00] guard: elapsed=34.0s MemAvailable=74.53 GiB
[2026-05-03T22:03:32-04:00] guard: elapsed=36.0s MemAvailable=74.28 GiB
[2026-05-03T22:03:34-04:00] guard: elapsed=38.0s MemAvailable=74.07 GiB
[2026-05-03T22:03:36-04:00] guard: elapsed=40.0s MemAvailable=73.87 GiB
[2026-05-03T22:03:38-04:00] guard: elapsed=42.0s MemAvailable=73.84 GiB
[2026-05-03T22:03:40-04:00] guard: elapsed=44.0s MemAvailable=73.63 GiB
[2026-05-03T22:03:42-04:00] guard: elapsed=46.0s MemAvailable=73.38 GiB
[2026-05-03T22:03:44-04:00] guard: elapsed=48.0s MemAvailable=73.23 GiB
[2026-05-03T22:03:46-04:00] guard: elapsed=50.0s MemAvailable=73.01 GiB
[2026-05-03T22:03:48-04:00] guard: elapsed=52.0s MemAvailable=72.57 GiB
[2026-05-03T22:03:50-04:00] guard: elapsed=54.0s MemAvailable=72.40 GiB
[2026-05-03T22:03:52-04:00] guard: elapsed=56.0s MemAvailable=72.21 GiB
[2026-05-03T22:03:54-04:00] guard: elapsed=58.0s MemAvailable=72.02 GiB
[2026-05-03T22:03:56-04:00] guard: elapsed=60.0s MemAvailable=71.81 GiB
[2026-05-03T22:03:58-04:00] guard: elapsed=62.0s MemAvailable=71.63 GiB
[2026-05-03T22:04:00-04:00] guard: elapsed=64.0s MemAvailable=71.43 GiB
[2026-05-03T22:04:02-04:00] guard: elapsed=66.0s MemAvailable=71.50 GiB
[2026-05-03T22:04:04-04:00] guard: elapsed=68.0s MemAvailable=71.32 GiB
